title,year,country,genres,director,cast,overview
High Noon,1952,['United States of America'],"['Western', 'Drama']",Fred Zinnemann,"['Gary Cooper', 'Thomas Mitchell', 'Lloyd Bridges', 'Katy Jurado', 'Grace Kelly']","Will Kane, the sheriff of a small town in New Mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. Knowing the outlaw and his gang are coming to kill him, Kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople."
The African Queen,1952,"['United Kingdom', 'United States of America']","['Romance', 'Adventure', 'Drama']",John Huston,"['Humphrey Bogart', 'Katharine Hepburn', 'Robert Morley', 'Peter Bull', 'Theodore Bikel']","At the start of the First World War, in the middle of Africa’s nowhere, a gin soaked riverboat captain is persuaded by a strong-willed missionary to go down river and face-off a German warship."
Tokyo Story,1953,['Japan'],['Drama'],Yasujirō Ozu,"['Chishū Ryū', 'Chieko Higashiyama', 'Setsuko Hara', 'Haruko Sugimura', 'Sō Yamamura']","The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company."
The Wages of Fear,1953,"['France', 'Italy']","['Drama', 'Thriller', 'Adventure']",Henri-Georges Clouzot,"['Yves Montand', 'Charles Vanel', 'Peter van Eyck', 'Folco Lulli', 'Véra Clouzot']","In a run-down South American town, four men are paid to drive trucks loaded with nitroglycerin into the jungle through to the oil field. Friendships are tested and rivalries develop as they embark upon the perilous journey."
Roman Holiday,1953,['United States of America'],"['Romance', 'Comedy', 'Drama']",William Wyler,"['Audrey Hepburn', 'Gregory Peck', 'Eddie Albert', 'Hartley Power', 'Harcourt Williams']","Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way."
Gentlemen Prefer Blondes,1953,['United States of America'],"['Comedy', 'Romance']",Howard Hawks,"['Jane Russell', 'Marilyn Monroe', 'Charles Coburn', 'Elliott Reid', 'Tommy Noonan']","Lorelei Lee is a beautiful showgirl engaged to be married to the wealthy Gus Esmond, much to the disapproval of Gus' rich father, Esmond Sr., who thinks that Lorelei is just after his money. When Lorelei goes on a cruise accompanied only by her best friend, Dorothy Shaw, Esmond Sr. hires Ernie Malone, a private detective, to follow her and report any questionable behavior that would disqualify her from the marriage."
Peter Pan,1953,['United States of America'],"['Animation', 'Family', 'Adventure', 'Fantasy']",Clyde Geronimi,"['Bobby Driscoll', 'Kathryn Beaumont', 'Hans Conried', 'Bill Thompson', 'Heather Angel']","Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good."
Seven Samurai,1954,['Japan'],"['Action', 'Drama']",Akira Kurosawa,"['Toshirō Mifune', 'Takashi Shimura', 'Yoshio Inaba', 'Seiji Miyaguchi', 'Minoru Chiaki']","A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food."
Rear Window,1954,['United States of America'],"['Thriller', 'Mystery']",Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter', 'Raymond Burr']",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
Dial M for Murder,1954,['United States of America'],"['Thriller', 'Crime']",Alfred Hitchcock,"['Ray Milland', 'Grace Kelly', 'Robert Cummings', 'John Williams', 'Anthony Dawson']","When her American lover visits London, a wealthy woman’s jealous husband hatches a plan to murder her and inherit her fortune."
La Strada,1954,['Italy'],['Drama'],Federico Fellini,"['Giulietta Masina', 'Anthony Quinn', 'Richard Basehart', 'Aldo Silvani', 'Marcella Rovere']","When Gelsomina, a naïve young woman, is purchased from her impoverished mother by brutish circus strongman Zampanò to be his wife and partner, she loyally endures her husband's coldness and abuse as they travel the Italian countryside performing together. Soon Zampanò must deal with his jealousy and conflicted feelings about Gelsomina when she finds a kindred spirit in Il Matto, the carefree circus fool, and contemplates leaving Zampanò."
On the Waterfront,1954,['United States of America'],"['Crime', 'Drama', 'Romance']",Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Eva Marie Saint', 'Rod Steiger']","A prizefighter-turned-longshoreman with a conscience goes up against labor leaders to expose corruption, extortion, and murder among the union ranks."
Godzilla,1954,['Japan'],"['Thriller', 'Horror', 'Science Fiction']",Ishirō Honda,"['Akira Takarada', 'Momoko Kôchi', 'Akihiko Hirata', 'Takashi Shimura', 'Fuyuki Murakami']","Japan is thrown into a panic after several ships are sunk near Odo Island. An expedition to the island led by Dr. Kyohei Yamane soon discover something far more devastating than imagined in the form of a 50 meter tall monster whom the natives call Gojira. Now the monster begins a rampage that threatens to destroy not only Japan, but the rest of the world as well."
Sabrina,1954,['United States of America'],"['Comedy', 'Romance', 'Drama']",Billy Wilder,"['Humphrey Bogart', 'Audrey Hepburn', 'William Holden', 'Walter Hampden', 'John Williams']","Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work – busily running the family corporate empire, he has no time for a wife and family. David is all play – technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who goes away to Paris for two years, and returns to capture David's attention, while falling in love with Linus."
Diabolique,1955,['France'],"['Thriller', 'Mystery']",Henri-Georges Clouzot,"['Véra Clouzot', 'Simone Signoret', 'Paul Meurisse', 'Charles Vanel', 'Jean Brochard']","The cruel and abusive headmaster of a boarding school, Michel Delassalle, is murdered by an unlikely duo -- his meek wife and the mistress he brazenly flaunts. The women become increasingly unhinged by a series of odd occurrences after Delassalle's corpse mysteriously disappears."
The Night of the Hunter,1955,['United States of America'],"['Crime', 'Drama', 'Thriller']",Charles Laughton,"['Robert Mitchum', 'Shelley Winters', 'Lillian Gish', 'Billy Chapin', 'Sally Jane Bruce']","In Depression-era West Virginia, a serial-killing preacher hunts two young children who know the whereabouts of a stash of money."
Rebel Without a Cause,1955,['United States of America'],['Drama'],Nicholas Ray,"['James Dean', 'Natalie Wood', 'Sal Mineo', 'Jim Backus', 'Ann Doran']","After moving to a new town, troublemaking teen Jim Stark is supposed to have a clean slate, although being the new kid in town brings its own problems. While searching for some stability, Stark forms a bond with a disturbed classmate, Plato, and falls for local girl Judy. However, Judy is the girlfriend of neighborhood tough, Buzz. When Buzz violently confronts Jim and challenges him to a drag race, the new kid's real troubles begin."
To Catch a Thief,1955,['United States of America'],"['Mystery', 'Romance', 'Thriller']",Alfred Hitchcock,"['Cary Grant', 'Grace Kelly', 'Jessie Royce Landis', 'John Williams', 'Charles Vanel']","When a string of jewel robberies hits the French Riviera, suspicion falls on retired thief John “The Cat” Robie. To clear his name, he sets out to trap the copycat himself—entangling a wealthy widow and her beguiling daughter in a seductive game of pursuit, deception, and desire."
Lady and the Tramp,1955,['United States of America'],"['Family', 'Animation', 'Romance']",Hamilton Luske,"['Barbara Luddy', 'Larry Roberts', 'Peggy Lee', 'Bill Thompson', 'Bill Baucom']","Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while."
The Ten Commandments,1956,['United States of America'],"['Drama', 'History']",Cecil B. DeMille,"['Charlton Heston', 'Yul Brynner', 'Anne Baxter', 'Edward G. Robinson', 'Yvonne De Carlo']","Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people."
The Searchers,1956,['United States of America'],['Western'],John Ford,"['John Wayne', 'Jeffrey Hunter', 'Vera Miles', 'Ward Bond', 'Natalie Wood']","As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable."
The Killing,1956,['United States of America'],"['Crime', 'Thriller']",Stanley Kubrick,"['Sterling Hayden', 'Coleen Gray', 'Vince Edwards', 'Jay C. Flippen', 'Ted de Corsia']","Career criminal Johnny Clay recruits a sharpshooter, a crooked police officer, a bartender and a betting teller named George, among others, for one last job before he goes straight and gets married. But when George tells his restless wife about the scheme to steal millions from the racetrack where he works, she hatches a plot of her own."
Invasion of the Body Snatchers,1956,['United States of America'],"['Science Fiction', 'Horror', 'Thriller']",Don Siegel,"['Kevin McCarthy', 'Dana Wynter', 'King Donovan', 'Carolyn Jones', 'Larry Gates']",A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
The Man Who Knew Too Much,1956,['United States of America'],"['Thriller', 'Mystery']",Alfred Hitchcock,"['James Stewart', 'Doris Day', 'Brenda De Banzie', 'Bernard Miles', 'Ralph Truman']","An American doctor and his wife, a former singing star, witness a murder while vacationing in Morocco, and are drawn into a twisting plot of international intrigue when their young son is kidnapped."
Forbidden Planet,1956,['United States of America'],"['Science Fiction', 'Adventure']",Fred M. Wilcox,"['Walter Pidgeon', 'Anne Francis', 'Leslie Nielsen', 'Warren Stevens', 'Jack Kelly']","Starship C57D travels to planet Altair 4 in search of the crew of spaceship ""Bellerophon,"" a scientific expedition that has been missing for twenty years. They find themselves unwelcome by the expedition's lone survivor and warned of destruction by an invisible force if they don't turn back immediately."
12 Angry Men,1957,['United States of America'],['Drama'],Sidney Lumet,"['Martin Balsam', 'John Fiedler', 'Lee J. Cobb', 'E.G. Marshall', 'Jack Klugman']","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other."
Paths of Glory,1957,['United States of America'],"['War', 'Drama']",Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready', 'Wayne Morris']",A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.
Witness for the Prosecution,1957,['United States of America'],"['Drama', 'Mystery', 'Crime']",Billy Wilder,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester', 'John Williams']",An ailing barrister agrees to defend a man in a sensational murder trial where the unconvincing testimony of the defendant's wife becomes a subject of confusion.
The Seventh Seal,1957,['Sweden'],"['Fantasy', 'Drama']",Ingmar Bergman,"['Gunnar Björnstrand', 'Bengt Ekerot', 'Nils Poppe', 'Max von Sydow', 'Bibi Andersson']","When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives."
Wild Strawberries,1957,['Sweden'],['Drama'],Ingmar Bergman,"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin', 'Gunnar Björnstrand', 'Jullan Kindahl']","Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor's own first love."
The Bridge on the River Kwai,1957,['United Kingdom'],"['Drama', 'History', 'War']",David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa', 'James Donald']","The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson, the commander who supervised the bridge's construction, has acquired a sense of pride in his creation and tries to foil their plans."
Vertigo,1958,['United States of America'],"['Mystery', 'Romance', 'Thriller']",Alfred Hitchcock,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore', 'Henry Jones']","A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her."
Touch of Evil,1958,['United States of America'],"['Crime', 'Thriller']",Orson Welles,"['Charlton Heston', 'Janet Leigh', 'Orson Welles', 'Joseph Calleia', 'Akim Tamiroff']","When a car bomb explodes on the American side of the U.S./Mexico border, Mexican drug enforcement agent Miguel Vargas begins his investigation, along with American police captain Hank Quinlan. When Vargas begins to suspect that Quinlan and his shady partner, Menzies, are planting evidence to frame an innocent man, his investigations into their possible corruption quickly put himself and his new bride, Susie, in jeopardy."
Some Like It Hot,1959,['United States of America'],"['Comedy', 'Romance', 'Crime']",Billy Wilder,"['Tony Curtis', 'Jack Lemmon', 'Marilyn Monroe', 'George Raft', ""Pat O'Brien""]",Two musicians witness a mob hit and struggle to find a way out of the city. Their only opportunity comes in the form of joining an all-girl band as they prepare to leave on a tour. The two disguise themselves as women and struggle to keep their identities secret as they deal with the problems this brings.
The 400 Blows,1959,['France'],['Drama'],François Truffaut,"['Jean-Pierre Léaud', 'Claire Maurier', 'Albert Rémy', 'Georges Flamant', 'Patrick Auffay']","For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures."
North by Northwest,1959,['United States of America'],"['Thriller', 'Adventure']",Alfred Hitchcock,"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis', 'Leo G. Carroll']","Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase."
Ben-Hur,1959,['United States of America'],"['History', 'Drama', 'Adventure']",William Wyler,"['Charlton Heston', 'Stephen Boyd', 'Hugh Griffith', 'Jack Hawkins', 'Haya Harareet']","In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners."
Anatomy of a Murder,1959,['United States of America'],"['Crime', 'Drama', 'Mystery']",Otto Preminger,"['James Stewart', 'Lee Remick', 'Ben Gazzara', ""Arthur O'Connell"", 'Eve Arden']","Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret."
Rio Bravo,1959,['United States of America'],['Western'],Howard Hawks,"['John Wayne', 'Dean Martin', 'Ricky Nelson', 'Angie Dickinson', 'Walter Brennan']","A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy."
Sleeping Beauty,1959,['United States of America'],"['Fantasy', 'Animation', 'Romance', 'Family']",Clyde Geronimi,"['Mary Costa', 'Bill Shirley', 'Eleanor Audley', 'Verna Felton', 'Barbara Luddy']","Cursed to die by the evil fairy Maleficent when she was a baby, Princess Aurora is sent into hiding under protection from three good fairies. As she grows up far away, Maleficent becomes increasingly determined to seal the princess's fate."
Psycho,1960,['United States of America'],"['Horror', 'Thriller', 'Mystery']",Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin', 'Martin Balsam']","When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother."
The Apartment,1960,['United States of America'],"['Comedy', 'Drama', 'Romance']",Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston', 'Jack Kruschen']","Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve."
La Dolce Vita,1960,"['France', 'Italy']","['Comedy', 'Drama']",Federico Fellini,"['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aimée', 'Yvonne Furneaux', 'Magali Noël']","Episodic journey of journalist Marcello who struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer."
Spartacus,1960,['United States of America'],"['History', 'War', 'Drama', 'Adventure']",Stanley Kubrick,"['Kirk Douglas', 'Laurence Olivier', 'Jean Simmons', 'Charles Laughton', 'Peter Ustinov']","The rebellious Thracian Spartacus, born and raised a slave, is sold to Gladiator trainer Batiatus. After weeks of being trained to kill for the arena, Spartacus turns on his owners and leads the other slaves in rebellion. As the rebels move from town to town, their numbers swell as escaped slaves join their ranks. Under the leadership of Spartacus, they make their way to southern Italy, where they will cross the sea and return to their homes."
The Magnificent Seven,1960,['United States of America'],"['Western', 'Action', 'Adventure']",John Sturges,"['Yul Brynner', 'Eli Wallach', 'Steve McQueen', 'Charles Bronson', 'Robert Vaughn']",An oppressed Mexican peasant village hires seven gunfighters to help defend their homes.
Breathless,1960,['France'],"['Drama', 'Crime']",Jean-Luc Godard,"['Jean-Paul Belmondo', 'Jean Seberg', 'Daniel Boulanger', 'Henri-Jacques Huet', 'Roger Hanin']","A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he attempts to persuade a girl to run away to Italy with him."
Yojimbo,1961,['Japan'],"['Drama', 'Thriller']",Akira Kurosawa,"['Toshirō Mifune', 'Tatsuya Nakadai', 'Yōko Tsukasa', 'Isuzu Yamada', 'Daisuke Katō']","A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men."
The Hustler,1961,['United States of America'],"['Drama', 'Romance']",Robert Rossen,"['Paul Newman', 'Jackie Gleason', 'Piper Laurie', 'George C. Scott', 'Myron McCormick']",Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.
Breakfast at Tiffany's,1961,['United States of America'],"['Comedy', 'Romance', 'Drama']",Blake Edwards,"['Audrey Hepburn', 'George Peppard', 'Patricia Neal', 'Buddy Ebsen', 'Martin Balsam']","Holly Golightly is an eccentric New York City playgirl determined to marry a Brazilian millionaire. But when young writer Paul Varjak moves into her apartment building, her past threatens to get in their way."
West Side Story,1961,['United States of America'],"['Crime', 'Drama', 'Romance']",Jerome Robbins,"['Natalie Wood', 'Richard Beymer', 'Russ Tamblyn', 'Rita Moreno', 'George Chakiris']","In the slums of the upper West Side of Manhattan, tensions are high as a gang of Polish-Americans compete against a gang of recently immigrated Puerto Ricans, but this doesn't stop two romantics from each gang falling in love."
One Hundred and One Dalmatians,1961,['United States of America'],"['Adventure', 'Animation', 'Comedy', 'Family']",Wolfgang Reitherman,"['Rod Taylor', ""J. Pat O'Malley"", 'Betty Lou Gerson', 'Martha Wentworth', 'Ben Wright']","When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement."
Harakiri,1962,['Japan'],"['Action', 'Drama', 'History']",Masaki Kobayashi,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsuro Tamba', 'Masao Mishima']","Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code."
Lawrence of Arabia,1962,['United Kingdom'],"['Adventure', 'History', 'War']",David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Omar Sharif', 'Anthony Quinn', 'Jack Hawkins']","During World War I, English officer Thomas Edward 'T.E.' Lawrence sets out to unite and lead the diverse, often warring, Arab tribes to fight the Turks."
To Kill a Mockingbird,1962,['United States of America'],['Drama'],Robert Mulligan,"['Mary Badham', 'Gregory Peck', 'Phillip Alford', 'John Megna', 'Frank Overton']","Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. When Atticus, their widowed father and a respected lawyer, defends a black man named Tom Robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping."
What Ever Happened to Baby Jane?,1962,['United States of America'],"['Thriller', 'Drama', 'Horror']",Robert Aldrich,"['Bette Davis', 'Joan Crawford', 'Victor Buono', 'Wesley Addy', 'Julie Allred']",A former child star torments her paraplegic sister in their decaying Hollywood mansion.
The Man Who Shot Liberty Valance,1962,['United States of America'],['Western'],John Ford,"['John Wayne', 'James Stewart', 'Vera Miles', 'Lee Marvin', ""Edmond O'Brien""]","Questions arise when Senator Stoddard attends the funeral of a local man named Tom Doniphon in a small Western town. Flashing back, we learn Doniphon saved Stoddard, then a lawyer, when he was roughed up by a crew of outlaws terrorizing the town, led by Liberty Valance. As the territory's safety hung in the balance, Doniphon and Stoddard, two of the only people standing up to him, proved to be very important, but different, foes to Valance."
Jules and Jim,1962,['France'],"['Drama', 'Romance']",François Truffaut,"['Henri Serre', 'Oskar Werner', 'Jeanne Moreau', 'Marie Dubois', 'Sabine Haudepin']","In the carefree days before World War I, introverted Austrian author Jules strikes up a friendship with the exuberant Frenchman Jim and both men fall for the impulsive and beautiful Catherine."
Lolita,1962,"['United Kingdom', 'United States of America']","['Drama', 'Romance']",Stanley Kubrick,"['James Mason', 'Shelley Winters', 'Sue Lyon', 'Gary Cockrell', 'Jerry Stovin']","Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he soon becomes obsessed with Lolita, the woman's teenaged daughter."
Dr. No,1962,['United Kingdom'],"['Adventure', 'Action', 'Thriller']",Terence Young,"['Sean Connery', 'Ursula Andress', 'Joseph Wiseman', 'Jack Lord', 'Anthony Dawson']","Agent 007 battles mysterious Dr. No, a scientific genius bent on destroying the U.S. space program. As the countdown to disaster begins, Bond must go to Jamaica, where he encounters beautiful Honey Ryder, to confront a megalomaniacal villain in his massive island headquarters."
High and Low,1963,['Japan'],"['Drama', 'Crime', 'Thriller']",Akira Kurosawa,"['Toshirō Mifune', 'Tatsuya Nakadai', 'Kyōko Kagawa', 'Tatsuya Mihashi', 'Isao Kimura']",A Yokohama shoe executive faces a wrenching choice when kidnappers mistakenly seize his chauffeur’s son but demand the ransom anyway.
8½,1963,"['Italy', 'France']",['Drama'],Federico Fellini,"['Marcello Mastroianni', 'Anouk Aimée', 'Sandra Milo', 'Claudia Cardinale', 'Rossella Falk']","Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood."
The Great Escape,1963,['United States of America'],"['Adventure', 'Drama', 'War']",John Sturges,"['Steve McQueen', 'James Garner', 'Richard Attenborough', 'James Donald', 'Charles Bronson']","The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocate them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story."
Charade,1963,['United States of America'],"['Comedy', 'Mystery', 'Romance']",Stanley Donen,"['Cary Grant', 'Audrey Hepburn', 'Walter Matthau', 'James Coburn', 'George Kennedy']","After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines."
The Birds,1963,['United States of America'],"['Horror', 'Thriller']",Alfred Hitchcock,"['Tippi Hedren', 'Rod Taylor', 'Jessica Tandy', 'Suzanne Pleshette', 'Veronica Cartwright']",Thousands of birds flock into a seaside town and terrorize the residents in a series of deadly attacks.
